smiles_std,logSolubility
C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,-0.77
CC1=C(C=CO1)C(=O)NC2=CC=CC=C2,-3.3
CC(=CCCC(=CC=O)C)C,-2.06
C1=CSC=C1,-1.33
C1=CC=C2C(=C1)N=CS2,-1.5
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-5.03
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,-4.42
C1CC(=O)NC1,1.07
C1=CC=C2C=C(C=CC2=C1)Cl,-4.14
CCCC=C,-2.68
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,-2.64
CCCCCCCCCCCCCC,-7.96
CC(C)Cl,-1.41
CCC(C)CO,-0.47
C1=CC=C(C=C1)C#N,-1.0
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-3.64
CCCCCCCCCC(C)O,-2.94
C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O,-4.593999999999999
CCOP(=S)(OCC)SCSCC,-4.11
CCOC1=CC=C(C=C1)NC(=O)C,-2.35
CCCCCCCO,-1.81
CN1C2=C(C(=O)N(C1=O)C)NC=N2,-1.39
CCCCC1(C(=O)NC(=O)NC1=O)CC,-1.661
C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,-6.9
CCCCCCCC(=O)OC,-3.17
CCC1=CC=C(C=C1)CC,-3.75
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,-4.805
C=C(Cl)Cl,-1.64
CCCCC=O,-0.85
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
CCCCCCCI,-4.81
C=CCCCO,-0.15
C1CC2(C1)C(=O)NC(=O)NC2=O,-1.655
CC1CCC(C(C1)O)C(C)C,-2.53
CC(C)OC=O,-0.63
CCCCCC(C)O,-1.55
CC(=O)NC1=CC=C(C=C1)Br,-3.083
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,-4.76
CCCCCCC#C,-3.66
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2.17
C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,-8.057
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,-2.523
CC1=CC=CC=C1O,-0.62
CC(C)CCC(C)(C)C,-5.05
CC1=CC=C(C2=CC=CC=C12)C,-4.14
CC1=CC2=C(C=CC3=CC=CC=C32)C4=CC=CC=C14,-6.57
CCCC(=O)C,-0.19
CCCOC(=O)CC,-0.82
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,-3.68
C1=CC(=CC=C1N)O,-0.8
C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],-2.81
CCNC1=NC(=NC(=N1)Cl)N(CC)CC,-4.06
C1=CN=C(C=N1)C(=O)N,-0.667
CCC(CC)(C(=O)NC(=O)N)Br,-2.68
C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],-3.38
CC1(C2CCC1(C(=O)C2)C)C,-1.96
C=CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,-2.369
CCCCC(=O)OCC,-2.25
CC(C)CCOC(=O)C,-1.92
CCCCCC(=O)OCN1C(=O)C(NC1=O)(C2=CC=CC=C2)C3=CC=CC=C3,-5.886
CCCBr,-1.73
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,-3.4930000000000003
CN(C=O)C(=O)CSP(=S)(OC)OC,-1.995
CC1=NC=NC2=NC=CN=C12,-0.466
C(=S)(N)N,0.32
CC1=CC=C(C=C1)C,-2.77
CCC1=CC=CC=C1CC,-3.28
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-3.67
CC1CCC(C(=O)C1)C(C)C,-2.35
CCN1C2=C(C=CC(=C2)Cl)NC(=O)C3=C1N=CC=C3,-5.36
C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],-3.48
CCCC(C)C1(C(=O)NC(=S)NC1=O)CC=C,-3.46
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,-6.0
CCCOC(C)C,-1.34
CC1=CC2=CC=CC=C2C(=C1)C,-4.29
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,-5.64
C1C(O1)C2=CC=CC=C2,-1.6
CC(C)C1=CC=CC=C1,-3.27
