smiles_std,logSolubility
CC1=C(C=CO1)C(=O)NC2=CC=CC=C2,-3.3
CC(=CCCC(=CC=O)C)C,-2.06
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CC5=CC=CC=C54,-7.87
C1=CSC=C1,-1.33
C1=CC=C2C(=C1)N=CS2,-1.5
C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl,-7.32
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-5.03
C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-6.29
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,-4.42
C1CC(=O)NC1,1.07
C1=CC=C2C=C(C=CC2=C1)Cl,-4.14
CCCC=C,-2.68
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,-2.64
CCCCCCCCCCCCCC,-7.96
CC(C)Cl,-1.41
CCC(C)CO,-0.47
C1=CC=C(C=C1)C#N,-1.0
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-3.64
CCCCCCCCCC(C)O,-2.94
C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,-7.43
CCOP(=S)(OCC)SCSCC,-4.11
CCOC1=CC=C(C=C1)NC(=O)C,-2.35
CCCCCCCO,-1.81
CCCCC1(C(=O)NC(=O)NC1=O)CC,-1.661
C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,-6.9
CCCCCCCC(=O)OC,-3.17
CCC1=CC=C(C=C1)CC,-3.75
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,-4.805
C=C(Cl)Cl,-1.64
CC1=C2CC3=CC=CC=C3C2=CC=C1,-5.22
CCCCC=O,-0.85
C1=CC=C(C=C1)NC2=CC=CC=C2,-3.504
CN(C)C(=O)SCCCCOC1=CC=CC=C1,-3.927
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
CCCCCCCI,-4.81
C1=CC=C(C=C1)C2=CC(=CC=C2)Cl,-4.88
C=CCCCO,-0.15
